company_id,city,source,name,credit_code,address,lng_wgs84,lat_wgs84,coord_source,coord_quality,business_scope,driver_num,vehicle_num,snapshot
,宁波,nb_company,,,,,,,missing,,18.0,15.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,10.0,7.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,68.0,34.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,10.0,7.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,18.0,23.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,7.0,7.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,7.0,7.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,10.0,8.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,0.0,5.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,6.0,3.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,16.0,14.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,3.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,8.0,5.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,5.0,5.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,4.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,4.0,4.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,21.0,15.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,14.0,11.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,14.0,13.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,4.0,4.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,22.0,25.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,14.0,15.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,3.0,3.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,3.0,3.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,24.0,25.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,8.0,10.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,47.0,41.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,9.0,4.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,29.0,24.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,37.0,27.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,44.0,47.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,13.0,11.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,4.0,4.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,7.0,7.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,8.0,9.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,3.0,3.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,3.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,31.0,10.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,7.0,7.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,0.0,0.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,4.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,39.0,35.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,3.0,3.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,4.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,3.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,39.0,38.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,3.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,9.0,8.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,6.0,4.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,11.0,12.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,8.0,8.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,3.0,3.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,3.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,3.0,3.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,7.0,7.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,0.0,23.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,4.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,4.0,5.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,5.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,9.0,7.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,8.0,8.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,0.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,17.0,19.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,37.0,32.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,2.0,2026-09-02
