site_id,litter_type,litter_name,amount_kg,is_sentinel,snapshot
nb_1a4f3ee4-fdc5-4368-9df2-9b9a5b263e12,Litter005,拆除弃料,6840000.0,False,2026-09-02
nb_656310a1-0843-4d44-83b0-e136cb88cdcf,Litter002,工程弃料,15100000.0,False,2026-09-02
nb_1c14191a-cf83-47b4-90c0-b20875aafdde,Litter001,工程渣土,144540000.0,False,2026-09-02
nb_1c14191a-cf83-47b4-90c0-b20875aafdde,Litter003,工程泥浆,2340000.0,False,2026-09-02
nb_1c14191a-cf83-47b4-90c0-b20875aafdde,Litter005,拆除弃料,540000.0,False,2026-09-02
nb_0aa5d5b1-2dd0-46ae-8409-deb73770ea2e,Litter001,工程渣土,27424000.0,False,2026-09-02
nb_0aa5d5b1-2dd0-46ae-8409-deb73770ea2e,Litter005,拆除弃料,16005000.0,False,2026-09-02
nb_c8e8326b-afe6-4420-9daf-e90c24d9764a,Litter005,拆除弃料,50400000.0,False,2026-09-02
nb_e8bd1651-a10a-4077-ad2c-2fbe0f60df25,Litter001,工程渣土,157140000.0,False,2026-09-02
nb_e8bd1651-a10a-4077-ad2c-2fbe0f60df25,Litter005,拆除弃料,99990000000.0,True,2026-09-02
nb_3394d635-41ce-4eca-8910-c98edec414f1,Litter001,工程渣土,27900000.0,False,2026-09-02
nb_54c0cf10-8a02-47fd-906f-5313245dc7b9,Litter005,拆除弃料,14400000.0,False,2026-09-02
nb_6dfcee9d-b761-468c-be7e-ed9d18d5d5a0,Litter001,工程渣土,6480000.0,False,2026-09-02
nb_6dfcee9d-b761-468c-be7e-ed9d18d5d5a0,Litter003,工程泥浆,8060000.0,False,2026-09-02
nb_16df1853-0e7a-4691-bf6b-fa294ea2fb19,Litter001,工程渣土,101340000.0,False,2026-09-02
nb_16df1853-0e7a-4691-bf6b-fa294ea2fb19,Litter003,工程泥浆,7800000.0,False,2026-09-02
nb_16df1853-0e7a-4691-bf6b-fa294ea2fb19,Litter005,拆除弃料,6300000.0,False,2026-09-02
nb_c7150500-b036-4bd9-a1de-f167c1ea1f38,Litter001,工程渣土,11000000.0,False,2026-09-02
nb_e21513b7-3651-4b24-b37f-d111e8a2c797,Litter001,工程渣土,6300000.0,False,2026-09-02
nb_984d9ba5-ec75-4bac-bb93-e1b7e83ee1d1,Litter001,工程渣土,9144000.0,False,2026-09-02
nb_1c207f57-e37c-4c8b-af9f-18959ab9f784,Litter001,工程渣土,146700000.0,False,2026-09-02
nb_1c207f57-e37c-4c8b-af9f-18959ab9f784,Litter005,拆除弃料,2880000.0,False,2026-09-02
nb_65bad271-1f71-4d88-9fbd-443198e8fa02,Litter001,工程渣土,237060000.0,False,2026-09-02
nb_65bad271-1f71-4d88-9fbd-443198e8fa02,Litter005,拆除弃料,6660000.0,False,2026-09-02
nb_5c383a78-99f6-4601-bc5d-a2feaaf95f28,Litter005,拆除弃料,2160000.0,False,2026-09-02
nb_7cce13ad-2d75-4965-890c-12a17a5c3b08,Litter001,工程渣土,466200000.0,False,2026-09-02
nb_7cce13ad-2d75-4965-890c-12a17a5c3b08,Litter003,工程泥浆,7280000.0,False,2026-09-02
nb_7cce13ad-2d75-4965-890c-12a17a5c3b08,Litter005,拆除弃料,4860000.0,False,2026-09-02
nb_b6a022b2-6d1e-4375-bbf5-0427f73a1af5,Litter002,工程弃料,1620000.0,False,2026-09-02
nb_329ee717-91c4-43ac-80a2-a9af2fe4d4ac,Litter003,工程泥浆,13910000.0,False,2026-09-02
nb_e580a4fd-f59c-4eeb-9137-bde7d093e35b,Litter001,工程渣土,14940000.0,False,2026-09-02
nb_e580a4fd-f59c-4eeb-9137-bde7d093e35b,Litter005,拆除弃料,5940000.0,False,2026-09-02
nb_1328f9e4-16f8-44ac-97f6-e0a34e889ad2,Litter001,工程渣土,5700000.0,False,2026-09-02
nb_1328f9e4-16f8-44ac-97f6-e0a34e889ad2,Litter003,工程泥浆,5495000.0,False,2026-09-02
